Unnamed: 0,edit_history_tweet_ids,tweetid,message,my_label,sentiment,trained_on,df_index,hashtag
0,[1605714616704696321],1605714616704696321,"RT @Bloominje: Space geht weiter. Superinterressant. Läuft jetzt ohne Unterbrechung :) Kim führt aus, dass das FBI/Pentagon Millionen von B…",,,0.0,0,[]
1,[1605714167121547266],1605714167121547266,"RT @unblogd: Die Wokeria freut sich schon, dass Elon Musk bald nicht mehr Twitter-Boss ist, kapiert aber nicht, dass er niemandem die Führu…",,,0.0,1,[]
2,[1605714056534441984],1605714056534441984,“Knallharte Ausbeutung” im Tesla-Werk in Grünheide: Elon Musk will mehr https://t.co/amUu30D2kG,,,0.0,2,[]
3,[1605713609597894656],1605713609597894656,Elon Musk einf Fähnchen im Wind sobald er MINIMAL gepressed wird my god der Mann benötigt einen safe space https://t.co/VSZGRBpUG2,1.0,,0.0,3,[]
4,[1605712610225278976],1605712610225278976,"RT @derspiegel: Elon Musk hat Twitter ins Chaos gestürzt. Nun lädt ihn das EU-Parlament ein, vor dem Plenum über sein Vorgehen Auskunft zu…",0.0,,0.0,4,[]
5,[1605710948546711552],1605710948546711552,Elon Musk is Ponzi scheme intelligent.,-1.0,,0.0,5,[]
6,[1605710915357351937],1605710915357351937,"@JoergRMayer @heimolepuschitz @elonmusk Ich schrei NICHT „Faschismus“,sage NICHT, dass Elon Musk ein Diktator ist. Und ich bin absolut dafür, Accounts von rechten Menschen zu sperren,wenn sie nicht wissen (wollen), was Hetze bedeutet und verantwortungslos agieren…Auch ein Nepp darf sein Hirn nutzen, bevor er schreibt!",,,0.0,6,[]
7,[1605710217525989376],1605710217525989376,Elon Musk will als Twitter-Chef zurücktreten https://t.co/3G3RjVDlQw Wirtschaft Schweiz https://t.co/COJk1fn2lW,,,0.0,7,[]
8,[1605709845000241153],1605709845000241153,"RT @HAMBURGonline: #Twitter Analyse: Das ernüchternde Resultat. Zwischen 60 und 80% aller abgesetzten Tweets, die sich entweder zur Ukraine…",,,0.0,8,['Twitter']
9,[1605709640364433408],1605709640364433408,"RT @janboehm: Desinformation: Wie die Fanboys von Elon Musk versuchen, Mastodon zu diskreditieren https://t.co/85AXUq4eQk",1.0,,0.0,9,[]
10,[1605709508847681537],1605709508847681537,RT @BlakesWort: Sehr gute Zusammenfassung zum Chef von Twitter. Nichts Neues für die meisten aktiven User:innen aber falls Bekannte und Ver…,,,0.0,10,[]
11,[1605709366908243968],1605709366908243968,"RT @_donalphonso: Weil entgegen den Ankündigungen die meisten Aufmerksamkeitsjunkies noch immer nicht bei Mastodon sind, habe ich aufgeschr…",,,0.0,11,[]
12,[1605709189627641858],1605709189627641858,@CozyKoakuma Lass das Elon Musk nicht sehen 🌚😂,,,0.0,12,[]
13,[1605708704757780480],1605708704757780480,RT @BlakesWort: Sehr gute Zusammenfassung zum Chef von Twitter. Nichts Neues für die meisten aktiven User:innen aber falls Bekannte und Ver…,,,0.0,13,[]
14,[1605707609071296514],1605707609071296514,"@janboehm Um sich einem ungelernten Flachwedler wie Ihnen überlegen zu fühlen, braucht es keinen Elon Musk im Rücken.
Interessant, dass die drei größten Giftspritzen des ÖRR ungelernte niveaulos frustgöbelnde Männer sind: Keller-, Kachel- und Böhmermann. 😂 #Minderwertigkeitskomplex",,,0.0,14,['Minderwertigkeitskomplex']
15,[1605706933914128385],1605706933914128385,"RT @george_orwell3: 🇺🇲 Präsident Trump gab sein erstes Interview seit der Veröffentlichung der Twitter-Akten und sagt, dass Elon Musk ein H…",,,0.0,15,[]
16,[1605706889102336000],1605706889102336000,"RT @Aggi_Dunkel: Elon Musk hat in kürzester Zeit mehr für ein Leben in Freiheit, ohne Wahlbeeinflussung, Fehlinformationen und Gehirnwäsche…",,,0.0,16,[]
17,[1605706513376485383],1605706513376485383,"RT @Aggi_Dunkel: Elon Musk hat in kürzester Zeit mehr für ein Leben in Freiheit, ohne Wahlbeeinflussung, Fehlinformationen und Gehirnwäsche…",,,0.0,17,[]
18,[1605704941535895552],1605704941535895552,"RT @zeitonline: Wenn jemand ""töricht genug"" für diesen Job ist, will Elon #Musk als CEO von Twitter zurücktreten. Musk gibt den Posten nich…",,,0.0,18,['Musk']
19,[1605704610349555715],1605704610349555715,"Elon Musk: ""Twitter ist wie ein brennendes Flugzeug ohne Steuerung"" | heise online https://t.co/S8hjqMASZu",,,0.0,19,[]
20,[1605704581786337281],1605704581786337281,"RT @nikitheblogger: Echt amüsant dabei zuzusehen, wie Böhmermann, die Tagesschau, linksgrüne Journalisten und Aktivisten seit Wochen virtue…",,,0.0,20,[]
21,[1605704371450281986],1605704371450281986,"RT @TichysEinblick: Kaum ein Tag vergeht, an dem Elon Musk linke Journalisten nicht auf die Palme treibt. Der Kampf um die Wiedererlangung…",,,0.0,21,[]
22,[1605704017170124801],1605704017170124801,"RT @janboehm: Desinformation: Wie die Fanboys von Elon Musk versuchen, Mastodon zu diskreditieren https://t.co/85AXUq4eQk",,,0.0,22,[]
23,[1605703516860940289],1605703516860940289,@stpaulivon1910 Ja aber wir können ihn ja an Elon Musk verscherbeln das wird die Probleme sicherlich lösen👍,,,0.0,23,[]
24,[1605702881256030214],1605702881256030214,"Stell dir vor du fährst einen Tesla und sagst, im Auto sitzend, laut etwas Negatives über Elon Musk... Was man mit Over-the-air-Updates bei einem elektrischen Auto so alles machen könnte...",,,0.0,24,[]
25,[1605702264605114368],1605702264605114368,"RT @sgasteyger: Im Gegensatz zu den meisten Politikern hat Elon Musk den Mut das Publikum zu fragen, ob er zurücktreten sollte. Wie schön w…",,,0.0,25,[]
26,[1605701730456330240],1605701730456330240,@JannBerg8 @MartinaSB22 @svenlehmann @MarcoBuschmann Du bist ein right wing Elon musk fan. Du musst es ja wissen.,,,0.0,26,[]
27,[1605701531235393536],1605701531235393536,Ich bin froh dass Elon Musk zurück getreten ist von Twitter und sein Mars Projekt ist so oder so gescheitert. Er hat total versagt und  den Twitter übertrieben verschätzt. #MuskMeltdown #MuskRat #Twitter,,,0.0,27,"['MuskMeltdown', 'MuskRat', 'Twitter']"
28,[1605701470363324416],1605701470363324416,"RT @Bloominje: Space geht weiter. Superinterressant. Läuft jetzt ohne Unterbrechung :) Kim führt aus, dass das FBI/Pentagon Millionen von B…",,,0.0,28,[]
29,[1605701215471427587],1605701215471427587,"RT @george_orwell3: 🇺🇲 Bill Gates: 
""Elon Musk ist erstaunlich, sehen Sie, was er mit Tesla, mit SpaceX und seiner Hilfe beim Klimawandel g…",,,0.0,29,[]
30,[1605700841372909569],1605700841372909569,RT @RND_de: #ElonMusk rechtfertigt seinen brachialen Sparkurs mit der Gefahr gigantischer Verluste. Expertinnen und Experten gehen davon au…,,,0.0,30,['ElonMusk']
31,[1605700743113031680],1605700743113031680,RT @pazlmaus: Sind unter Elon musk jetzt eigentlich morddrohungen erlaubt wichtig,,,0.0,31,[]
32,[1605700614712745984],1605700614712745984,"RT @george_orwell3: 🇺🇲 Bill Gates: 
""Elon Musk ist erstaunlich, sehen Sie, was er mit Tesla, mit SpaceX und seiner Hilfe beim Klimawandel g…",,,0.0,32,[]
33,[1605700274080796672],1605700274080796672,"RT @RAinDiercks: Es ist vollkommen gleichgültig, ob Musk CEO von Twitter bleibt oder nicht. Zum einen bleibt er derjenige, der den künftige…",,,0.0,33,[]
34,[1605700227662368769],1605700227662368769,"RT @unblogd: Die Wokeria freut sich schon, dass Elon Musk bald nicht mehr Twitter-Boss ist, kapiert aber nicht, dass er niemandem die Führu…",,,0.0,34,[]
35,[1605699913077051392],1605699913077051392,"RT @HAMBURGonline: #Twitter Analyse: Das ernüchternde Resultat. Zwischen 60 und 80% aller abgesetzten Tweets, die sich entweder zur Ukraine…",,,0.0,35,['Twitter']
36,[1605699877731713024],1605699877731713024,"RT @Spielenator: !! NEUES VIDEO !!

Wie Elon Musk Twitter zerstört! 

Lasst uns mal einen Blick in das Drama der letzten Wochen werfen, und…",,,0.0,36,[]
37,[1605699843480989696],1605699843480989696,"RT @Bloominje: Was also jetzt mit Elon Musk und Twitter passiert - die Attacken auf ihn, die Diffamierung (rechter Hass und Hetze auf Twitt…",,,0.0,37,[]
38,[1605699840922357761],1605699840922357761,"RT @HAMBURGonline: #Twitter Analyse: Das ernüchternde Resultat. Zwischen 60 und 80% aller abgesetzten Tweets, die sich entweder zur Ukraine…",,,0.0,38,['Twitter']
39,[1605699718331383808],1605699718331383808,"RT @janboehm: Desinformation: Wie die Fanboys von Elon Musk versuchen, Mastodon zu diskreditieren https://t.co/85AXUq4eQk",,,0.0,39,[]
40,[1605699268173406208],1605699268173406208,Elon Musk wurde mir als Follower aufgeschwatzt,,,0.0,40,[]
41,[1605699264994082817],1605699264994082817,Elon Musk stellt Rücktritt bei Twitter in Aussicht https://t.co/apUV21KT6Z via @zeitonline,,,0.0,41,[]
42,[1605698962945675274],1605698962945675274,"RT @janboehm: Desinformation: Wie die Fanboys von Elon Musk versuchen, Mastodon zu diskreditieren https://t.co/85AXUq4eQk",,,0.0,42,[]
43,[1605698959007272961],1605698959007272961,RT @StephanusHH: Elon #musk hat mit den #TwitterFiles das Versagen des Journalismus der letzten Jahre offengelegt. Etwas anderes als wildes…,,,0.0,43,"['musk', 'TwitterFiles']"
44,[1605698923900936192],1605698923900936192,"RT @neo33lightray: @Division1979 Ich glaube der ursprüngliche Khazar Kushner lebt nicht mehr. So wie Elon Musk. Es spielt keine Rolle, wen…",,,0.0,44,[]
45,[1605698761056956416],1605698761056956416,"RT @janboehm: Desinformation: Wie die Fanboys von Elon Musk versuchen, Mastodon zu diskreditieren https://t.co/85AXUq4eQk",,,0.0,45,[]
46,[1605698608942161924],1605698608942161924,"@ralphruthe Grotesk ist das Schweigen im Blätterwald bezüglich der #Twitterfiles #TwitterFiles8 

@ralphruthe kannst du das irgendwie in einen Comic packen?
Ein überforderter Elon Musk, ein korrupter Joe Biden, Geheimdienste die Angela Merkel abhören und die öffentliche Meinung beeinflussen",,,0.0,46,"['Twitterfiles', 'TwitterFiles8']"
47,[1605698495691661312],1605698495691661312,RT @netzpolitik_org: Ein Blogartikel über #Mastodon geht derzeit bei Elon Musks Fanboys und in rechten Kreisen viral. Es handelt sich um De…,,,0.0,47,['Mastodon']
48,[1605698479380119556],1605698479380119556,"RT @janboehm: Desinformation: Wie die Fanboys von Elon Musk versuchen, Mastodon zu diskreditieren https://t.co/85AXUq4eQk",,,0.0,48,[]
49,[1605697843536150528],1605697843536150528,RT @netzpolitik_org: Ein Blogartikel über #Mastodon geht derzeit bei Elon Musks Fanboys und in rechten Kreisen viral. Es handelt sich um De…,,,0.0,49,['Mastodon']
50,[1605697370364190721],1605697370364190721,"Desinformation:  Wie die Fanboys von Elon Musk versuchen, Mastodon zu diskreditieren Ein irreführender Blogartikel über Mastodon geht derzeit bei Elon Musks Fanboys und in rechten Kreisen viral – zuletzt auch in einer Publikation des Ex-Bild-Chefredakteu

https://t.co/c6KYLSFpSw",,,0.0,50,[]
51,[1605697365830037504],1605697365830037504,"RT @Spielenator: !! NEUES VIDEO !!

Wie Elon Musk Twitter zerstört! 

Lasst uns mal einen Blick in das Drama der letzten Wochen werfen, und…",,,0.0,51,[]
52,[1605697018948640768],1605697018948640768,"RT @Bloominje: Er folgert daraus: Der Grad der Korruption muss sehr hoch sein. Man sieht es an Elon Musk: Er zeigt Gesicht, bezieht Stellun…",,,0.0,52,[]
53,[1605696868825980928],1605696868825980928,"Elon Musk 

Elon Spast 

Spast Musk 

Musk Spast 

Spast der Musk 

Musk der Spast 

Musk der Musk 

Spast der Spast Elon Musk 

Irgendwas muss doch trenden naaaa ?",,,0.0,53,[]
54,[1605696856494940161],1605696856494940161,RT @NatalieAmiri: Nutzer stimmen gegen Musk als Twitter-Chef - via @BR24 https://t.co/nMaikRFjUv,,,0.0,54,[]
55,[1605696617176244227],1605696617176244227,RT @JohannaSoll: Diese knackige Kolumne von @lopezlinette ist m.E. bisher der beste Artikel über Elon Musks Geschäftsgebaren - unbedingt le…,,,0.0,55,[]
56,[1605696406336856064],1605696406336856064,"Under 5 Moochspans. 

https://t.co/xydbwiAuPi",,,0.0,56,[]
57,[1605696311814021120],1605696311814021120,RT @netzpolitik_org: Ein Blogartikel über #Mastodon geht derzeit bei Elon Musks Fanboys und in rechten Kreisen viral. Es handelt sich um De…,,,0.0,57,['Mastodon']
58,[1605695009772093440],1605695009772093440,"RT @Dritte_Person: Ganz großes Kino, wenn der Deutsche Journalisten-Verband (DJV) sich hier auf Twitter für Meinungsfreiheit aufstellt, die…",,,0.0,58,[]
59,[1605694911889776642],1605694911889776642,"@DLF Macht es ja nicht so wie Elon Musk und lasst die Beitragszahler über euer Sein abstimmen. Meine Glaskugel sagt, dann seid ihr weg. #WirHabenMitgemacht",,,0.0,59,['WirHabenMitgemacht']
60,[1605694685032456208],1605694685032456208,"RT @MartinSoechting: Elon Musk unterstellt, daß Bots das Abstimmungsergebnis gegen ihn herbei geführt hätten.
Will er damit etwa sagen, Twi…",,,0.0,60,[]
61,[1605694630762369024],1605694630762369024,RT @netzpolitik_org: Ein Blogartikel über #Mastodon geht derzeit bei Elon Musks Fanboys und in rechten Kreisen viral. Es handelt sich um De…,,,0.0,61,['Mastodon']
62,[1605694393117286415],1605694393117286415,RT @teslamag: #Tesla-Aktie stürzt weiter ab: Musk bestätigt geplanten Rückzug von CEO-Job bei Twitter https://t.co/t2zhQhcXmP,,,0.0,62,['Tesla']
63,[1605694045333987332],1605694045333987332,RT @BlakesWort: Sehr gute Zusammenfassung zum Chef von Twitter. Nichts Neues für die meisten aktiven User:innen aber falls Bekannte und Ver…,,,0.0,63,[]
64,[1605693992863117313],1605693992863117313,"RT @Georg_Pazderski: Scholz und seine Minister sollten Elon Musk nacheifern und sich ebenfalls einem Online-Votum stellen, ob sie weiterhin…",,,0.0,64,[]
65,[1605693869919805455],1605693869919805455,"RT @janboehm: Desinformation: Wie die Fanboys von Elon Musk versuchen, Mastodon zu diskreditieren https://t.co/85AXUq4eQk",,,0.0,65,[]
66,[1605693719654633472],1605693719654633472,"@SeibtNaomi @elonmusk @SeibtNaomi Also ich weiß ja nicht, in welcher Dimension du lebst, aber hier in der Realität steht Elon Musk für Freedom of Speech genau so sehr wie der Ozean trocken ist - nämlich 0.",,,0.0,66,[]
67,[1605693322072182784],1605693322072182784,"RT @Georg_Pazderski: Scholz und seine Minister sollten Elon Musk nacheifern und sich ebenfalls einem Online-Votum stellen, ob sie weiterhin…",,,0.0,67,[]
68,[1605693166258200578],1605693166258200578,"@speis_oo Tja, schade das Tesla nicht mit seinen Produkten/Geschäftsmodell überzeugen kann sondern einzig und allein von der Glaubwürdigkeit von Elon Musk lebt.
Muss jetzt eine schöne Enttäuschung für alle Teslafahrer/Teslanalefer sein.",,,0.0,68,[]
69,[1605692620872851472],1605692620872851472,"RT @HAMBURGonline: #Twitter Analyse: Das ernüchternde Resultat. Zwischen 60 und 80% aller abgesetzten Tweets, die sich entweder zur Ukraine…",,,0.0,69,['Twitter']
70,[1605692318014742543],1605692318014742543,"RT @MartinSoechting: Elon Musk unterstellt, daß Bots das Abstimmungsergebnis gegen ihn herbei geführt hätten.
Will er damit etwa sagen, Twi…",,,0.0,70,[]
71,[1605692253128859676],1605692253128859676,"damals, als elon musk noch eine figur aus versponnenen herzog-dokumentarfilmen war 😢",,,0.0,71,[]
72,[1605692102125330432],1605692102125330432,"RT @nikitheblogger: Echt amüsant dabei zuzusehen, wie Böhmermann, die Tagesschau, linksgrüne Journalisten und Aktivisten seit Wochen virtue…",,,0.0,72,[]
73,[1605691924773343232],1605691924773343232,"RT @janboehm: Desinformation: Wie die Fanboys von Elon Musk versuchen, Mastodon zu diskreditieren https://t.co/85AXUq4eQk",,,0.0,73,[]
74,[1605691811393142784],1605691811393142784,"Reitet Elon Musk Tesla in die Miesen? Der Milliardär will seine E-Autos nicht mehr verkaufen, https://t.co/c0aTlaIKuk",,,0.0,74,[]
75,[1605691629209264128],1605691629209264128,"RT @janboehm: Desinformation: Wie die Fanboys von Elon Musk versuchen, Mastodon zu diskreditieren https://t.co/85AXUq4eQk",,,0.0,75,[]
76,[1605691376276054030],1605691376276054030,"RT @reisburgerin: @AliCologne @welt Die schreiben alle das gleiche. Handelsblatt: ""Mit Krisen dürfte auch Elon Musk sich inzwischen etwas b…",,,0.0,76,[]
77,[1605690693568983040],1605690693568983040,"RT @janboehm: Desinformation: Wie die Fanboys von Elon Musk versuchen, Mastodon zu diskreditieren https://t.co/85AXUq4eQk",,,0.0,77,[]
78,[1605690673306501120],1605690673306501120,RT @netzpolitik_org: Ein Blogartikel über #Mastodon geht derzeit bei Elon Musks Fanboys und in rechten Kreisen viral. Es handelt sich um De…,,,0.0,78,['Mastodon']
79,[1605690666633371654],1605690666633371654,"Top story: Desinformation: Wie die Fanboys von Elon Musk versuchen, Mastodon zu diskreditieren https://t.co/AhE7w9jPLI, see more https://t.co/iNYPklKS80",,,0.0,79,[]
80,[1605689697178640384],1605689697178640384,RT @netzpolitik_org: Ein Blogartikel über #Mastodon geht derzeit bei Elon Musks Fanboys und in rechten Kreisen viral. Es handelt sich um De…,,,0.0,80,['Mastodon']
81,[1605689642279477248],1605689642279477248,RT @netzpolitik_org: Ein Blogartikel über #Mastodon geht derzeit bei Elon Musks Fanboys und in rechten Kreisen viral. Es handelt sich um De…,,,0.0,81,['Mastodon']
82,[1605688829129592832],1605688829129592832,"@elonmusk Ich befürchte, dass OHNE DIR, Elon Musk, alles viel schlimmer wird! Als Europein, kenne mich zu wenig aus! Bin sicher, dass Du wieder recht hast! LG. Eva aus Wien",,,0.0,82,[]
83,[1605688758459924480],1605688758459924480,"RT @twittschler: Elon #Musk legt offen, wie unter der alten #Twitter|führung Meinung im Sinne der Mächtigen manipuliert wurde. Deshalb beko…",,,0.0,83,"['Musk', 'Twitter']"
84,[1605688620559478785],1605688620559478785,RT @BlakesWort: Sehr gute Zusammenfassung zum Chef von Twitter. Nichts Neues für die meisten aktiven User:innen aber falls Bekannte und Ver…,,,0.0,84,[]
85,[1605688397674291211],1605688397674291211,"RT @Georg_Pazderski: Scholz und seine Minister sollten Elon Musk nacheifern und sich ebenfalls einem Online-Votum stellen, ob sie weiterhin…",,,0.0,85,[]
86,[1605688170032480256],1605688170032480256,"RT @sgasteyger: Im Gegensatz zu den meisten Politikern hat Elon Musk den Mut das Publikum zu fragen, ob er zurücktreten sollte. Wie schön w…",,,0.0,86,[]
87,[1605687826259087360],1605687826259087360,"@The_JNG @DoctorWho080804 @WarrenKTBFFHCFC @SkyNews 2/2
Grössenwahnsinnig wie Donald Trump und Elon Musk: https://t.co/q8uG1F34ez",,,0.0,87,[]
88,[1605687798127738880],1605687798127738880,"RT @HAMBURGonline: #Twitter Analyse: Das ernüchternde Resultat. Zwischen 60 und 80% aller abgesetzten Tweets, die sich entweder zur Ukraine…",,,0.0,88,['Twitter']
89,[1605687777307369488],1605687777307369488,"RT @Bloominje: Was also jetzt mit Elon Musk und Twitter passiert - die Attacken auf ihn, die Diffamierung (rechter Hass und Hetze auf Twitt…",,,0.0,89,[]
90,[1605687312821628929],1605687312821628929,RT @netzpolitik_org: Ein Blogartikel über #Mastodon geht derzeit bei Elon Musks Fanboys und in rechten Kreisen viral. Es handelt sich um De…,,,0.0,90,['Mastodon']
91,[1605687130461806605],1605687130461806605,"@Pietbull47 Gelogen.

Die Transponderdaten beliebiger Flugzeuge kann sich Jede(r) im Netz anschauen.
Also auch vom Flugzeug von Elon Musk.",,,0.0,91,[]
92,[1605687108097740800],1605687108097740800,"#Twitter Analyse: Das ernüchternde Resultat. Zwischen 60 und 80% aller abgesetzten Tweets, die sich entweder zur Ukraine oder Russland bekannten, stammten von automatisierten #bots 90,2!!!! Prozent aller Tweets waren pro-ukrainische. Wieviel Bots waren es by Elon #Musk Umfragen? https://t.co/KQarCkugl6",,,0.0,92,"['Twitter', 'bots', 'Musk']"
93,[1605687054557360129],1605687054557360129,"RT @janboehm: Desinformation: Wie die Fanboys von Elon Musk versuchen, Mastodon zu diskreditieren https://t.co/85AXUq4eQk",,,0.0,93,[]
94,[1605686747190284288],1605686747190284288,"RT @janboehm: Desinformation: Wie die Fanboys von Elon Musk versuchen, Mastodon zu diskreditieren https://t.co/85AXUq4eQk",,,0.0,94,[]
95,[1605686644186783752],1605686644186783752,"RT @Bloominje: Space geht weiter. Superinterressant. Läuft jetzt ohne Unterbrechung :) Kim führt aus, dass das FBI/Pentagon Millionen von B…",,,0.0,95,[]
96,[1605686220301795329],1605686220301795329,"RT @janboehm: Desinformation: Wie die Fanboys von Elon Musk versuchen, Mastodon zu diskreditieren https://t.co/85AXUq4eQk",,,0.0,96,[]
97,[1605685920090525696],1605685920090525696,"RT @Bloominje: Space geht weiter. Superinterressant. Läuft jetzt ohne Unterbrechung :) Kim führt aus, dass das FBI/Pentagon Millionen von B…",,,0.0,97,[]
98,[1605685410709004289],1605685410709004289,"Wenn Messi und Elon Musk ein Kind hätten, würde es die Welt regieren.",,,0.0,98,[]
99,[1605685380312965121],1605685380312965121,"RT @unblogd: Die Wokeria freut sich schon, dass Elon Musk bald nicht mehr Twitter-Boss ist, kapiert aber nicht, dass er niemandem die Führu…",,,0.0,99,[]
